[26-05-2015 19:53:06] Contest set to ILSVRC

[26-05-2015 19:53:06] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 19:53:12] Metadata loaded succesfully!

[26-05-2015 19:53:12] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 19:53:13] Objects filepaths indexer loaded succesfully!
[26-05-2015 19:53:32] iter: 1/935 | epoch 0/200 | error: 0.994996428489685
[26-05-2015 19:53:42] iter: 2/935 | epoch 0/200 | error: 0.994970440864563
[26-05-2015 19:53:52] iter: 3/935 | epoch 0/200 | error: 0.994923830032349
[26-05-2015 19:54:02] iter: 4/935 | epoch 0/200 | error: 0.994848847389221
[26-05-2015 19:54:12] iter: 5/935 | epoch 0/200 | error: 0.994740962982178
[26-05-2015 19:54:22] iter: 6/935 | epoch 0/200 | error: 0.994695186614990
[26-05-2015 19:54:32] iter: 7/935 | epoch 0/200 | error: 0.994545817375183
[26-05-2015 19:54:42] iter: 8/935 | epoch 0/200 | error: 0.994407236576080
[26-05-2015 19:54:53] iter: 9/935 | epoch 0/200 | error: 0.994253039360046
[26-05-2015 19:55:03] iter: 10/935 | epoch 0/200 | error: 0.994188964366913
[26-05-2015 19:55:14] iter: 11/935 | epoch 0/200 | error: 0.993997037410736
[26-05-2015 19:55:24] iter: 12/935 | epoch 0/200 | error: 0.993884801864624
[26-05-2015 19:55:35] iter: 13/935 | epoch 0/200 | error: 0.993996322154999
[26-05-2015 19:55:45] iter: 14/935 | epoch 0/200 | error: 0.994276225566864
[26-05-2015 19:55:55] iter: 15/935 | epoch 0/200 | error: 0.994450867176056
