[26-05-2015 20:22:48] Contest set to ILSVRC

[26-05-2015 20:22:48] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 20:22:55] Metadata loaded succesfully!

[26-05-2015 20:22:55] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 20:22:56] Objects filepaths indexer loaded succesfully!
[26-05-2015 20:23:07] iter: 1/7481 | epoch 0/200 | error: 0.994996309280396
[26-05-2015 20:23:09] iter: 2/7481 | epoch 0/200 | error: 0.994994342327118
[26-05-2015 20:23:10] iter: 3/7481 | epoch 0/200 | error: 0.994992315769196
[26-05-2015 20:23:12] iter: 4/7481 | epoch 0/200 | error: 0.994988381862640
[26-05-2015 20:23:13] iter: 5/7481 | epoch 0/200 | error: 0.994978964328766
[26-05-2015 20:23:15] iter: 6/7481 | epoch 0/200 | error: 0.994971513748169
[26-05-2015 20:23:17] iter: 7/7481 | epoch 0/200 | error: 0.994968116283417
[26-05-2015 20:23:18] iter: 8/7481 | epoch 0/200 | error: 0.994962811470032
[26-05-2015 20:23:20] iter: 9/7481 | epoch 0/200 | error: 0.994955301284790
[26-05-2015 20:23:21] iter: 10/7481 | epoch 0/200 | error: 0.994965136051178
[26-05-2015 20:23:23] iter: 11/7481 | epoch 0/200 | error: 0.994919955730438
[26-05-2015 20:23:24] iter: 12/7481 | epoch 0/200 | error: 0.994944036006927
[26-05-2015 20:23:26] iter: 13/7481 | epoch 0/200 | error: 0.994950532913208
[26-05-2015 20:23:28] iter: 14/7481 | epoch 0/200 | error: 0.994902253150940
[26-05-2015 20:23:29] iter: 15/7481 | epoch 0/200 | error: 0.994908511638641
[26-05-2015 20:23:31] iter: 16/7481 | epoch 0/200 | error: 0.994901120662689
[26-05-2015 20:23:32] iter: 17/7481 | epoch 0/200 | error: 0.994880139827728
[26-05-2015 20:23:34] iter: 18/7481 | epoch 0/200 | error: 0.994908332824707
[26-05-2015 20:23:35] iter: 19/7481 | epoch 0/200 | error: 0.994871795177460
[26-05-2015 20:23:36] iter: 20/7481 | epoch 0/200 | error: 0.994868278503418
[26-05-2015 20:23:37] iter: 21/7481 | epoch 0/200 | error: 0.994874775409698
[26-05-2015 20:23:39] iter: 22/7481 | epoch 0/200 | error: 0.994821786880493
[26-05-2015 20:23:41] iter: 23/7481 | epoch 0/200 | error: 0.994851768016815
[26-05-2015 20:23:42] iter: 24/7481 | epoch 0/200 | error: 0.994803667068481
