[28-05-2015 22:22:33] Contest set to ILSVRC

[28-05-2015 22:22:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 22:22:40] Metadata loaded succesfully!

[28-05-2015 22:22:40] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 22:22:41] Objects filepaths indexer loaded succesfully!

[28-05-2015 22:22:46] TRAINING
------------------------------
[28-05-2015 22:22:52] iter: 1/3740 | epoch 0/200 | error: 0.995011091232300
[28-05-2015 22:22:59] iter: 2/3740 | epoch 0/200 | error: 0.994959771633148
[28-05-2015 22:23:04] iter: 3/3740 | epoch 0/200 | error: 0.994887828826904
[28-05-2015 22:23:10] iter: 4/3740 | epoch 0/200 | error: 0.994743704795837
[28-05-2015 22:23:16] iter: 5/3740 | epoch 0/200 | error: 0.994452714920044

[28-05-2015 22:23:16] VALIDATING
--------------------------------
[28-05-2015 22:24:53] validation error: 0.995100021362305 accuracy: 0.000000%
[28-05-2015 22:24:54] validation error: 0.995111167430878 accuracy: 0.000000%
[28-05-2015 22:24:55] validation error: 0.995131492614746 accuracy: 0.000000%
[28-05-2015 22:24:57] validation error: 0.995121300220490 accuracy: 0.000000%
[28-05-2015 22:24:58] validation error: 0.995121657848358 accuracy: 0.000000%
[28-05-2015 22:25:00] validation error: 0.995142042636871 accuracy: 0.000000%
[28-05-2015 22:25:01] validation error: 0.995148420333862 accuracy: 0.000000%
[28-05-2015 22:25:03] validation error: 0.995141386985779 accuracy: 0.000000%
[28-05-2015 22:25:04] validation error: 0.995129585266113 accuracy: 0.000000%
[28-05-2015 22:25:06] validation error: 0.995126307010651 accuracy: 0.000000%
[28-05-2015 22:25:07] validation error: 0.995123267173767 accuracy: 0.000000%
[28-05-2015 22:25:09] validation error: 0.995108604431152 accuracy: 0.000000%
[28-05-2015 22:25:10] validation error: 0.995074033737183 accuracy: 0.000000%
[28-05-2015 22:25:12] validation error: 0.995079576969147 accuracy: 0.000000%
[28-05-2015 22:25:13] validation error: 0.995081067085266 accuracy: 0.000000%
[28-05-2015 22:25:14] validation error: 0.995074391365051 accuracy: 0.000000%
[28-05-2015 22:25:16] validation error: 0.995062708854675 accuracy: 0.000000%
[28-05-2015 22:25:17] validation error: 0.995061755180359 accuracy: 0.000000%
