[26-05-2015 20:13:52] Contest set to ILSVRC

[26-05-2015 20:13:52] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 20:13:59] Metadata loaded succesfully!

[26-05-2015 20:13:59] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 20:14:00] Objects filepaths indexer loaded succesfully!
[26-05-2015 20:14:11] iter: 1/7481 | epoch 0/200 | error: 0.994996488094330
[26-05-2015 20:14:13] iter: 2/7481 | epoch 0/200 | error: 0.994994878768921
[26-05-2015 20:14:15] iter: 3/7481 | epoch 0/200 | error: 0.994991600513458
[26-05-2015 20:14:16] iter: 4/7481 | epoch 0/200 | error: 0.994983732700348
[26-05-2015 20:14:18] iter: 5/7481 | epoch 0/200 | error: 0.994985044002533
[26-05-2015 20:14:19] iter: 6/7481 | epoch 0/200 | error: 0.994973301887512
[26-05-2015 20:14:21] iter: 7/7481 | epoch 0/200 | error: 0.994969964027405
[26-05-2015 20:14:22] iter: 8/7481 | epoch 0/200 | error: 0.994963169097900
[26-05-2015 20:14:23] iter: 9/7481 | epoch 0/200 | error: 0.994947195053101
[26-05-2015 20:14:25] iter: 10/7481 | epoch 0/200 | error: 0.994941949844360
[26-05-2015 20:14:27] iter: 11/7481 | epoch 0/200 | error: 0.994942307472229
[26-05-2015 20:14:28] iter: 12/7481 | epoch 0/200 | error: 0.994928240776062
[26-05-2015 20:14:30] iter: 13/7481 | epoch 0/200 | error: 0.994915544986725
[26-05-2015 20:14:31] iter: 14/7481 | epoch 0/200 | error: 0.994888186454773
[26-05-2015 20:14:33] iter: 15/7481 | epoch 0/200 | error: 0.994918227195740
[26-05-2015 20:14:34] iter: 16/7481 | epoch 0/200 | error: 0.994877278804779
[26-05-2015 20:14:36] iter: 17/7481 | epoch 0/200 | error: 0.994895815849304
[26-05-2015 20:14:37] iter: 18/7481 | epoch 0/200 | error: 0.994855403900146
[26-05-2015 20:14:39] iter: 19/7481 | epoch 0/200 | error: 0.994897782802582
[26-05-2015 20:14:41] iter: 20/7481 | epoch 0/200 | error: 0.994832336902618
[26-05-2015 20:14:42] iter: 21/7481 | epoch 0/200 | error: 0.994799852371216
[26-05-2015 20:14:44] iter: 22/7481 | epoch 0/200 | error: 0.994838654994965
