[29-05-2015 09:36:52] Contest set to ILSVRC

[29-05-2015 09:36:52] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[29-05-2015 09:36:58] Metadata loaded succesfully!

[29-05-2015 09:36:58] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[29-05-2015 09:37:00] Objects filepaths indexer loaded succesfully!

[29-05-2015 09:37:09] TRAINING
------------------------------
[29-05-2015 09:37:13] iter: 1/3740 | epoch 0/200 | error: 1.034552574157715
[29-05-2015 09:37:17] iter: 2/3740 | epoch 0/200 | error: 0.968081593513489
[29-05-2015 09:37:21] iter: 3/3740 | epoch 0/200 | error: 1.435282468795776
[29-05-2015 09:37:25] iter: 4/3740 | epoch 0/200 | error: 1.565017580986023
[29-05-2015 09:37:28] iter: 5/3740 | epoch 0/200 | error: 1.193325638771057
[29-05-2015 09:37:32] iter: 6/3740 | epoch 0/200 | error: 1.006621122360229
[29-05-2015 09:37:36] iter: 7/3740 | epoch 0/200 | error: 1.002917408943176
[29-05-2015 09:37:40] iter: 8/3740 | epoch 0/200 | error: 1.001267910003662
[29-05-2015 09:37:43] iter: 9/3740 | epoch 0/200 | error: 0.998740434646606
[29-05-2015 09:37:47] iter: 10/3740 | epoch 0/200 | error: 0.977402091026306
[29-05-2015 09:37:51] iter: 11/3740 | epoch 0/200 | error: 1.254872560501099
[29-05-2015 09:37:55] iter: 12/3740 | epoch 0/200 | error: 1.018521666526794
[29-05-2015 09:37:58] iter: 13/3740 | epoch 0/200 | error: 0.973984122276306
[29-05-2015 09:38:02] iter: 14/3740 | epoch 0/200 | error: 1.285459637641907
[29-05-2015 09:38:06] iter: 15/3740 | epoch 0/200 | error: 1.968750000000000
[29-05-2015 09:38:10] iter: 16/3740 | epoch 0/200 | error: 1.828125000000000
[29-05-2015 09:38:13] iter: 17/3740 | epoch 0/200 | error: 1.781250000000000
[29-05-2015 09:38:17] iter: 18/3740 | epoch 0/200 | error: 1.781250000000000
[29-05-2015 09:38:21] iter: 19/3740 | epoch 0/200 | error: NaN
