[27-05-2015 07:11:39] Contest set to ILSVRC

[27-05-2015 07:11:39] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[27-05-2015 07:11:46] Metadata loaded succesfully!

[27-05-2015 07:11:46] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[27-05-2015 07:11:47] Objects filepaths indexer loaded succesfully!
[27-05-2015 07:12:00] iter: 1/14962 | epoch 0/200 | error: 0.995027720928192
[27-05-2015 07:12:03] iter: 2/14962 | epoch 0/200 | error: 0.994485557079315
[27-05-2015 07:12:05] iter: 3/14962 | epoch 0/200 | error: 0.993598520755768
[27-05-2015 07:12:07] iter: 4/14962 | epoch 0/200 | error: 0.991428256034851
[27-05-2015 07:12:09] iter: 5/14962 | epoch 0/200 | error: 0.980393826961517
[27-05-2015 07:12:11] iter: 6/14962 | epoch 0/200 | error: 1.056668400764465
[27-05-2015 07:12:13] iter: 7/14962 | epoch 0/200 | error: 0.962158739566803
[27-05-2015 07:12:15] iter: 8/14962 | epoch 0/200 | error: 0.987182259559631
[27-05-2015 07:12:18] iter: 9/14962 | epoch 0/200 | error: 0.988040030002594
[27-05-2015 07:12:20] iter: 10/14962 | epoch 0/200 | error: 0.992170989513397
[27-05-2015 07:12:22] iter: 11/14962 | epoch 0/200 | error: 0.974487066268921
[27-05-2015 07:12:24] iter: 12/14962 | epoch 0/200 | error: 1.153814792633057
[27-05-2015 07:12:26] iter: 13/14962 | epoch 0/200 | error: 0.993594288825989
[27-05-2015 07:12:28] iter: 14/14962 | epoch 0/200 | error: 0.994329333305359
[27-05-2015 07:12:31] iter: 15/14962 | epoch 0/200 | error: 0.994092524051666
[27-05-2015 07:12:33] iter: 16/14962 | epoch 0/200 | error: 0.994458436965942
[27-05-2015 07:12:35] iter: 17/14962 | epoch 0/200 | error: 0.993370294570923
[27-05-2015 07:12:37] iter: 18/14962 | epoch 0/200 | error: 0.992501795291901
[27-05-2015 07:12:39] iter: 19/14962 | epoch 0/200 | error: 0.982687294483185
[27-05-2015 07:12:41] iter: 20/14962 | epoch 0/200 | error: 1.111080884933472
[27-05-2015 07:12:44] iter: 21/14962 | epoch 0/200 | error: 0.992115199565887
[27-05-2015 07:12:46] iter: 22/14962 | epoch 0/200 | error: 0.994116842746735
[27-05-2015 07:12:48] iter: 23/14962 | epoch 0/200 | error: 0.994265437126160
[27-05-2015 07:12:50] iter: 24/14962 | epoch 0/200 | error: 0.994026422500610
[27-05-2015 07:12:52] iter: 25/14962 | epoch 0/200 | error: 0.993922352790833
[27-05-2015 07:12:54] iter: 26/14962 | epoch 0/200 | error: 0.993818998336792
[27-05-2015 07:12:57] iter: 27/14962 | epoch 0/200 | error: 0.990846991539001
[27-05-2015 07:12:59] iter: 28/14962 | epoch 0/200 | error: 0.984855771064758
[27-05-2015 07:13:01] iter: 29/14962 | epoch 0/200 | error: 0.898290455341339
[27-05-2015 07:13:03] iter: 30/14962 | epoch 0/200 | error: 1.110992074012756
[27-05-2015 07:13:05] iter: 31/14962 | epoch 0/200 | error: 0.989253878593445
[27-05-2015 07:13:06] iter: 32/14962 | epoch 0/200 | error: 0.992135703563690
[27-05-2015 07:13:09] iter: 33/14962 | epoch 0/200 | error: 0.992080092430115
[27-05-2015 07:13:11] iter: 34/14962 | epoch 0/200 | error: 0.990847826004028
[27-05-2015 07:13:13] iter: 35/14962 | epoch 0/200 | error: 0.991987228393555
[27-05-2015 07:13:15] iter: 36/14962 | epoch 0/200 | error: 0.973195672035217
[27-05-2015 07:13:17] iter: 37/14962 | epoch 0/200 | error: 1.048342347145081
[27-05-2015 07:13:19] iter: 38/14962 | epoch 0/200 | error: 0.981318950653076
[27-05-2015 07:13:22] iter: 39/14962 | epoch 0/200 | error: 0.980278670787811
[27-05-2015 07:13:24] iter: 40/14962 | epoch 0/200 | error: 0.967596530914307
[27-05-2015 07:13:26] iter: 41/14962 | epoch 0/200 | error: 0.991438806056976
[27-05-2015 07:13:28] iter: 42/14962 | epoch 0/200 | error: 0.975951611995697
[27-05-2015 07:13:30] iter: 43/14962 | epoch 0/200 | error: 0.976381897926331
[27-05-2015 07:13:32] iter: 44/14962 | epoch 0/200 | error: 0.981205880641937
[27-05-2015 07:13:35] iter: 45/14962 | epoch 0/200 | error: 0.965685546398163
[27-05-2015 07:13:37] iter: 46/14962 | epoch 0/200 | error: 1.007579803466797
[27-05-2015 07:13:39] iter: 47/14962 | epoch 0/200 | error: 0.958997964859009
[27-05-2015 07:13:41] iter: 48/14962 | epoch 0/200 | error: 0.949027419090271
[27-05-2015 07:13:43] iter: 49/14962 | epoch 0/200 | error: 0.995641648769379
[27-05-2015 07:13:45] iter: 50/14962 | epoch 0/200 | error: 0.981026351451874
[27-05-2015 07:13:48] iter: 51/14962 | epoch 0/200 | error: 0.987205982208252
[27-05-2015 07:13:50] iter: 52/14962 | epoch 0/200 | error: 0.988899886608124
[27-05-2015 07:13:52] iter: 53/14962 | epoch 0/200 | error: 0.982882380485535
[27-05-2015 07:13:54] iter: 54/14962 | epoch 0/200 | error: 0.959284842014313
[27-05-2015 07:13:56] iter: 55/14962 | epoch 0/200 | error: 0.962324440479279
[27-05-2015 07:13:58] iter: 56/14962 | epoch 0/200 | error: 0.974798262119293
[27-05-2015 07:14:01] iter: 57/14962 | epoch 0/200 | error: 0.977811872959137
[27-05-2015 07:14:03] iter: 58/14962 | epoch 0/200 | error: 0.979806661605835
[27-05-2015 07:14:05] iter: 59/14962 | epoch 0/200 | error: 0.964398205280304
[27-05-2015 07:14:07] iter: 60/14962 | epoch 0/200 | error: 1.036600351333618
[27-05-2015 07:14:09] iter: 61/14962 | epoch 0/200 | error: 0.949151039123535
[27-05-2015 07:14:11] iter: 62/14962 | epoch 0/200 | error: 0.974693417549133
[27-05-2015 07:14:13] iter: 63/14962 | epoch 0/200 | error: 0.953047096729279
[27-05-2015 07:14:16] iter: 64/14962 | epoch 0/200 | error: 0.966026782989502
[27-05-2015 07:14:17] iter: 65/14962 | epoch 0/200 | error: 0.964566111564636
[27-05-2015 07:14:19] iter: 66/14962 | epoch 0/200 | error: 0.974464714527130
[27-05-2015 07:14:22] iter: 67/14962 | epoch 0/200 | error: 0.982178866863251
[27-05-2015 07:14:24] iter: 68/14962 | epoch 0/200 | error: 0.978497147560120
[27-05-2015 07:14:26] iter: 69/14962 | epoch 0/200 | error: 0.965915560722351
[27-05-2015 07:14:28] iter: 70/14962 | epoch 0/200 | error: 1.008203744888306
[27-05-2015 07:14:30] iter: 71/14962 | epoch 0/200 | error: 0.960644781589508
[27-05-2015 07:14:32] iter: 72/14962 | epoch 0/200 | error: 0.967454731464386
[27-05-2015 07:14:34] iter: 73/14962 | epoch 0/200 | error: 0.962915539741516
[27-05-2015 07:14:36] iter: 74/14962 | epoch 0/200 | error: 0.937334835529327
[27-05-2015 07:14:38] iter: 75/14962 | epoch 0/200 | error: 0.953566610813141
[27-05-2015 07:14:40] iter: 76/14962 | epoch 0/200 | error: 0.949988424777985
[27-05-2015 07:14:42] iter: 77/14962 | epoch 0/200 | error: 0.958422958850861
[27-05-2015 07:14:45] iter: 78/14962 | epoch 0/200 | error: 0.960381269454956
[27-05-2015 07:14:47] iter: 79/14962 | epoch 0/200 | error: 0.932742774486542
[27-05-2015 07:14:49] iter: 80/14962 | epoch 0/200 | error: 1.029323935508728
[27-05-2015 07:14:51] iter: 81/14962 | epoch 0/200 | error: 0.980020463466644
[27-05-2015 07:14:53] iter: 82/14962 | epoch 0/200 | error: 0.988641083240509
[27-05-2015 07:14:55] iter: 83/14962 | epoch 0/200 | error: 0.985085308551788
[27-05-2015 07:14:57] iter: 84/14962 | epoch 0/200 | error: 0.983863234519958
