[25-05-2015 21:01:02] Contest set to ILSVRC

[25-05-2015 21:01:02] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[25-05-2015 21:01:09] Metadata loaded succesfully!

[25-05-2015 21:01:09] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[25-05-2015 21:01:10] Objects filepaths indexer loaded succesfully!
[25-05-2015 21:01:18] iter: 1/1870 | epoch 0/200 | mse: 0.994996070861816
[25-05-2015 21:01:22] iter: 2/1870 | epoch 0/200 | mse: 0.994993448257446
[25-05-2015 21:01:26] iter: 3/1870 | epoch 0/200 | mse: 0.994988620281219
[25-05-2015 21:01:30] iter: 4/1870 | epoch 0/200 | mse: 0.994980156421661
[25-05-2015 21:01:34] iter: 5/1870 | epoch 0/200 | mse: 0.994975328445435
[25-05-2015 21:01:38] iter: 6/1870 | epoch 0/200 | mse: 0.994961678981781
[25-05-2015 21:01:41] iter: 7/1870 | epoch 0/200 | mse: 0.994952321052551
[25-05-2015 21:01:45] iter: 8/1870 | epoch 0/200 | mse: 0.994931340217590
[25-05-2015 21:01:49] iter: 9/1870 | epoch 0/200 | mse: 0.994919300079346
[25-05-2015 21:01:53] iter: 10/1870 | epoch 0/200 | mse: 0.994919836521149
[25-05-2015 21:01:57] iter: 11/1870 | epoch 0/200 | mse: 0.994890689849854
[25-05-2015 21:02:01] iter: 12/1870 | epoch 0/200 | mse: 0.994892954826355
[25-05-2015 21:02:04] iter: 13/1870 | epoch 0/200 | mse: 0.994880735874176
[25-05-2015 21:02:08] iter: 14/1870 | epoch 0/200 | mse: 0.994859635829926
[25-05-2015 21:02:12] iter: 15/1870 | epoch 0/200 | mse: 0.994818985462189
[25-05-2015 21:02:16] iter: 16/1870 | epoch 0/200 | mse: 0.994809091091156
[25-05-2015 21:02:20] iter: 17/1870 | epoch 0/200 | mse: 0.994802772998810
[25-05-2015 21:02:24] iter: 18/1870 | epoch 0/200 | mse: 0.994778752326965
[25-05-2015 21:02:27] iter: 19/1870 | epoch 0/200 | mse: 0.994772374629974
