[26-05-2015 20:24:04] Contest set to ILSVRC

[26-05-2015 20:24:04] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 20:24:11] Metadata loaded succesfully!

[26-05-2015 20:24:11] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 20:24:12] Objects filepaths indexer loaded succesfully!
[26-05-2015 20:24:23] iter: 1/7481 | epoch 0/200 | error: 0.994996070861816
[26-05-2015 20:24:25] iter: 2/7481 | epoch 0/200 | error: 0.994994521141052
[26-05-2015 20:24:27] iter: 3/7481 | epoch 0/200 | error: 0.994991898536682
[26-05-2015 20:24:28] iter: 4/7481 | epoch 0/200 | error: 0.994987070560455
[26-05-2015 20:24:30] iter: 5/7481 | epoch 0/200 | error: 0.994983017444611
[26-05-2015 20:24:31] iter: 6/7481 | epoch 0/200 | error: 0.994975626468658
[26-05-2015 20:24:33] iter: 7/7481 | epoch 0/200 | error: 0.994966745376587
[26-05-2015 20:24:35] iter: 8/7481 | epoch 0/200 | error: 0.994957447052002
[26-05-2015 20:24:36] iter: 9/7481 | epoch 0/200 | error: 0.994963586330414
[26-05-2015 20:24:38] iter: 10/7481 | epoch 0/200 | error: 0.994957089424133
[26-05-2015 20:24:39] iter: 11/7481 | epoch 0/200 | error: 0.994933128356934
[26-05-2015 20:24:41] iter: 12/7481 | epoch 0/200 | error: 0.994933545589447
[26-05-2015 20:24:43] iter: 13/7481 | epoch 0/200 | error: 0.994933545589447
[26-05-2015 20:24:44] iter: 14/7481 | epoch 0/200 | error: 0.994915544986725
[26-05-2015 20:24:46] iter: 15/7481 | epoch 0/200 | error: 0.994899332523346
[26-05-2015 20:24:47] iter: 16/7481 | epoch 0/200 | error: 0.994894504547119
[26-05-2015 20:24:49] iter: 17/7481 | epoch 0/200 | error: 0.994913458824158
[26-05-2015 20:24:50] iter: 18/7481 | epoch 0/200 | error: 0.994905948638916
[26-05-2015 20:24:52] iter: 19/7481 | epoch 0/200 | error: 0.994875013828278
[26-05-2015 20:24:54] iter: 20/7481 | epoch 0/200 | error: 0.994857728481293
[26-05-2015 20:24:55] iter: 21/7481 | epoch 0/200 | error: 0.994896829128265
[26-05-2015 20:24:57] iter: 22/7481 | epoch 0/200 | error: 0.994870305061340
[26-05-2015 20:24:58] iter: 23/7481 | epoch 0/200 | error: 0.994789719581604
[26-05-2015 20:25:00] iter: 24/7481 | epoch 0/200 | error: 0.994820654392242
[26-05-2015 20:25:01] iter: 25/7481 | epoch 0/200 | error: 0.994782626628876
[26-05-2015 20:25:03] iter: 26/7481 | epoch 0/200 | error: 0.994771003723145
[26-05-2015 20:25:04] iter: 27/7481 | epoch 0/200 | error: 0.994806230068207
[26-05-2015 20:25:06] iter: 28/7481 | epoch 0/200 | error: 0.994769990444183
[26-05-2015 20:25:08] iter: 29/7481 | epoch 0/200 | error: 0.994736552238464
[26-05-2015 20:25:09] iter: 30/7481 | epoch 0/200 | error: 0.994741141796112
[26-05-2015 20:25:11] iter: 31/7481 | epoch 0/200 | error: 0.994770348072052
[26-05-2015 20:25:12] iter: 32/7481 | epoch 0/200 | error: 0.994726359844208
[26-05-2015 20:25:14] iter: 33/7481 | epoch 0/200 | error: 0.994734823703766
[26-05-2015 20:25:15] iter: 34/7481 | epoch 0/200 | error: 0.994756162166595
[26-05-2015 20:25:17] iter: 35/7481 | epoch 0/200 | error: 0.994711935520172
