[27-05-2015 08:12:06] Contest set to ILSVRC

[27-05-2015 08:12:06] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[27-05-2015 08:12:13] Metadata loaded succesfully!

[27-05-2015 08:12:13] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[27-05-2015 08:12:14] Objects filepaths indexer loaded succesfully!
[27-05-2015 08:12:25] iter: 1/14962 | epoch 0/200 | error: 0.995566308498383
[27-05-2015 08:12:26] iter: 2/14962 | epoch 0/200 | error: 0.993952333927155
[27-05-2015 08:12:27] iter: 3/14962 | epoch 0/200 | error: 1.556959986686707
[27-05-2015 08:12:29] iter: 4/14962 | epoch 0/200 | error: 0.995598435401917
[27-05-2015 08:12:30] iter: 5/14962 | epoch 0/200 | error: 1.000615596771240
[27-05-2015 08:12:31] iter: 6/14962 | epoch 0/200 | error: 1.937500000000000
[27-05-2015 08:12:32] iter: 7/14962 | epoch 0/200 | error: 1.812499880790710
[27-05-2015 08:12:34] iter: 8/14962 | epoch 0/200 | error: 1.812500000000000
[27-05-2015 08:12:35] iter: 9/14962 | epoch 0/200 | error: 1.750000000000000
[27-05-2015 08:12:36] iter: 10/14962 | epoch 0/200 | error: 1.875000000000000
[27-05-2015 08:12:37] iter: 11/14962 | epoch 0/200 | error: NaN
[27-05-2015 08:12:38] iter: 12/14962 | epoch 0/200 | error: NaN
[27-05-2015 08:12:40] iter: 13/14962 | epoch 0/200 | error: NaN
[27-05-2015 08:12:41] iter: 14/14962 | epoch 0/200 | error: NaN
[27-05-2015 08:12:42] iter: 15/14962 | epoch 0/200 | error: NaN
[27-05-2015 08:12:44] iter: 16/14962 | epoch 0/200 | error: NaN
