[27-05-2015 08:21:45] Contest set to ILSVRC

[27-05-2015 08:21:45] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[27-05-2015 08:21:51] Metadata loaded succesfully!

[27-05-2015 08:21:51] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[27-05-2015 08:21:53] Objects filepaths indexer loaded succesfully!
[27-05-2015 08:22:03] iter: 1/14962 | epoch 0/100 | error: 0.994668543338776
[27-05-2015 08:22:05] iter: 2/14962 | epoch 0/100 | error: 0.990647196769714
[27-05-2015 08:22:06] iter: 3/14962 | epoch 0/100 | error: 1.543738722801208
[27-05-2015 08:22:07] iter: 4/14962 | epoch 0/100 | error: 0.994944632053375
[27-05-2015 08:22:08] iter: 5/14962 | epoch 0/100 | error: 0.994857609272003
[27-05-2015 08:22:10] iter: 6/14962 | epoch 0/100 | error: 0.995035350322723
[27-05-2015 08:22:11] iter: 7/14962 | epoch 0/100 | error: 0.994229376316071
[27-05-2015 08:22:12] iter: 8/14962 | epoch 0/100 | error: 0.993263065814972
[27-05-2015 08:22:13] iter: 9/14962 | epoch 0/100 | error: 0.993699312210083
[27-05-2015 08:22:15] iter: 10/14962 | epoch 0/100 | error: 0.994234144687653
[27-05-2015 08:22:16] iter: 11/14962 | epoch 0/100 | error: 0.994372606277466
[27-05-2015 08:22:17] iter: 12/14962 | epoch 0/100 | error: 0.994270741939545
[27-05-2015 08:22:18] iter: 13/14962 | epoch 0/100 | error: 0.991047263145447
[27-05-2015 08:22:20] iter: 14/14962 | epoch 0/100 | error: 1.810984492301941
[27-05-2015 08:22:21] iter: 15/14962 | epoch 0/100 | error: 0.994902193546295
[27-05-2015 08:22:22] iter: 16/14962 | epoch 0/100 | error: 0.994799017906189
[27-05-2015 08:22:23] iter: 17/14962 | epoch 0/100 | error: 0.994773447513580
[27-05-2015 08:22:25] iter: 18/14962 | epoch 0/100 | error: 0.994328081607819
[27-05-2015 08:22:26] iter: 19/14962 | epoch 0/100 | error: 0.994390249252319
[27-05-2015 08:22:27] iter: 20/14962 | epoch 0/100 | error: 0.994840979576111
[27-05-2015 08:22:28] iter: 21/14962 | epoch 0/100 | error: 0.994661450386047
[27-05-2015 08:22:30] iter: 22/14962 | epoch 0/100 | error: 0.993820905685425
[27-05-2015 08:22:31] iter: 23/14962 | epoch 0/100 | error: 0.997785627841949
[27-05-2015 08:22:32] iter: 24/14962 | epoch 0/100 | error: 0.988417506217957
[27-05-2015 08:22:33] iter: 25/14962 | epoch 0/100 | error: 0.993971884250641
[27-05-2015 08:22:35] iter: 26/14962 | epoch 0/100 | error: 0.980159282684326
[27-05-2015 08:22:36] iter: 27/14962 | epoch 0/100 | error: 1.562458038330078
[27-05-2015 08:22:37] iter: 28/14962 | epoch 0/100 | error: 1.812499880790710
[27-05-2015 08:22:38] iter: 29/14962 | epoch 0/100 | error: 1.750000000000000
[27-05-2015 08:22:39] iter: 30/14962 | epoch 0/100 | error: 1.500000000000000
[27-05-2015 08:22:41] iter: 31/14962 | epoch 0/100 | error: 1.966656923294067
[27-05-2015 08:22:42] iter: 32/14962 | epoch 0/100 | error: 1.937500000000000
[27-05-2015 08:22:43] iter: 33/14962 | epoch 0/100 | error: 2.000000000000000
[27-05-2015 08:22:44] iter: 34/14962 | epoch 0/100 | error: 1.812500000000000
[27-05-2015 08:22:46] iter: 35/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:22:47] iter: 36/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:22:48] iter: 37/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:22:49] iter: 38/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:22:51] iter: 39/14962 | epoch 0/100 | error: NaN
