[29-05-2015 09:11:20] Contest set to ILSVRC

[29-05-2015 09:11:20] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[29-05-2015 09:11:26] Metadata loaded succesfully!

[29-05-2015 09:11:26] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[29-05-2015 09:11:28] Objects filepaths indexer loaded succesfully!

[29-05-2015 09:11:32] TRAINING
------------------------------
[29-05-2015 09:11:37] iter: 1/3740 | epoch 0/200 | error: 0.995029211044312
[29-05-2015 09:11:41] iter: 2/3740 | epoch 0/200 | error: 0.994975566864014
[29-05-2015 09:11:45] iter: 3/3740 | epoch 0/200 | error: 0.994889736175537
[29-05-2015 09:11:48] iter: 4/3740 | epoch 0/200 | error: 0.994814932346344
[29-05-2015 09:11:52] iter: 5/3740 | epoch 0/200 | error: 0.994580745697021
[29-05-2015 09:11:56] iter: 6/3740 | epoch 0/200 | error: 0.994126081466675
[29-05-2015 09:12:00] iter: 7/3740 | epoch 0/200 | error: 0.992126345634460
[29-05-2015 09:12:04] iter: 8/3740 | epoch 0/200 | error: 0.972816646099091
[29-05-2015 09:12:08] iter: 9/3740 | epoch 0/200 | error: 1.089050292968750
[29-05-2015 09:12:11] iter: 10/3740 | epoch 0/200 | error: 0.994494020938873
[29-05-2015 09:12:15] iter: 11/3740 | epoch 0/200 | error: 0.994436621665955
[29-05-2015 09:12:19] iter: 12/3740 | epoch 0/200 | error: 0.994380831718445
[29-05-2015 09:12:23] iter: 13/3740 | epoch 0/200 | error: 0.994241356849670
