[27-05-2015 08:20:47] Contest set to ILSVRC

[27-05-2015 08:20:47] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[27-05-2015 08:20:53] Metadata loaded succesfully!

[27-05-2015 08:20:53] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[27-05-2015 08:20:54] Objects filepaths indexer loaded succesfully!
[27-05-2015 08:21:05] iter: 1/14962 | epoch 0/100 | error: 0.994926214218140
[27-05-2015 08:21:07] iter: 2/14962 | epoch 0/100 | error: 0.988683104515076
[27-05-2015 08:21:08] iter: 3/14962 | epoch 0/100 | error: 1.687211632728577
[27-05-2015 08:21:09] iter: 4/14962 | epoch 0/100 | error: 1.896457552909851
[27-05-2015 08:21:10] iter: 5/14962 | epoch 0/100 | error: 1.500000000000000
[27-05-2015 08:21:12] iter: 6/14962 | epoch 0/100 | error: 2.000000000000000
[27-05-2015 08:21:13] iter: 7/14962 | epoch 0/100 | error: 1.812500000000000
[27-05-2015 08:21:14] iter: 8/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:21:15] iter: 9/14962 | epoch 0/100 | error: NaN
[27-05-2015 08:21:17] iter: 10/14962 | epoch 0/100 | error: NaN
