[26-05-2015 02:17:40] Contest set to ILSVRC

[26-05-2015 02:17:40] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 02:17:46] Metadata loaded succesfully!

[26-05-2015 02:17:46] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 02:17:48] Objects filepaths indexer loaded succesfully!
[26-05-2015 02:18:00] iter: 1/3740 | epoch 0/200 | mse: 0.994996190071106
[26-05-2015 02:18:02] iter: 2/3740 | epoch 0/200 | mse: 0.994977056980133
[26-05-2015 02:18:04] iter: 3/3740 | epoch 0/200 | mse: 0.994921684265137
[26-05-2015 02:18:06] iter: 4/3740 | epoch 0/200 | mse: 0.994867384433746
[26-05-2015 02:18:07] iter: 5/3740 | epoch 0/200 | mse: 0.994785189628601
[26-05-2015 02:18:09] iter: 6/3740 | epoch 0/200 | mse: 0.994697391986847
[26-05-2015 02:18:11] iter: 7/3740 | epoch 0/200 | mse: 0.994487464427948
[26-05-2015 02:18:13] iter: 8/3740 | epoch 0/200 | mse: 0.994368851184845
[26-05-2015 02:18:14] iter: 9/3740 | epoch 0/200 | mse: 0.994323730468750
[26-05-2015 02:18:16] iter: 10/3740 | epoch 0/200 | mse: 0.994117975234985
[26-05-2015 02:18:18] iter: 11/3740 | epoch 0/200 | mse: 0.993788540363312
[26-05-2015 02:18:20] iter: 12/3740 | epoch 0/200 | mse: 0.993836820125580
[26-05-2015 02:18:21] iter: 13/3740 | epoch 0/200 | mse: 0.993867218494415
[26-05-2015 02:18:23] iter: 14/3740 | epoch 0/200 | mse: 0.993642568588257
[26-05-2015 02:18:25] iter: 15/3740 | epoch 0/200 | mse: 0.993675768375397
[26-05-2015 02:18:27] iter: 16/3740 | epoch 0/200 | mse: 0.993243575096130
[26-05-2015 02:18:28] iter: 17/3740 | epoch 0/200 | mse: 0.992951989173889
[26-05-2015 02:18:30] iter: 18/3740 | epoch 0/200 | mse: 0.992417275905609
[26-05-2015 02:18:32] iter: 19/3740 | epoch 0/200 | mse: 0.991047680377960
[26-05-2015 02:18:34] iter: 20/3740 | epoch 0/200 | mse: 0.989036262035370
[26-05-2015 02:18:35] iter: 21/3740 | epoch 0/200 | mse: 0.989274978637695
[26-05-2015 02:18:37] iter: 22/3740 | epoch 0/200 | mse: 0.988571703433990
[26-05-2015 02:18:39] iter: 23/3740 | epoch 0/200 | mse: 0.987182497978210
