[29-05-2015 11:05:33] Contest set to ILSVRC

[29-05-2015 11:05:33] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[29-05-2015 11:05:39] Metadata loaded succesfully!

[29-05-2015 11:05:39] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[29-05-2015 11:05:41] Objects filepaths indexer loaded succesfully!

[29-05-2015 11:05:45] TRAINING
------------------------------
[29-05-2015 11:05:49] iter: 1/3740 | epoch 0/200 | error: 1.050945162773132
[29-05-2015 11:05:53] iter: 2/3740 | epoch 0/200 | error: 1.051318287849426
[29-05-2015 11:05:57] iter: 3/3740 | epoch 0/200 | error: 1.051291227340698
[29-05-2015 11:06:00] iter: 4/3740 | epoch 0/200 | error: 1.048820137977600
[29-05-2015 11:06:04] iter: 5/3740 | epoch 0/200 | error: 1.050760984420776
[29-05-2015 11:06:08] iter: 6/3740 | epoch 0/200 | error: 1.049628257751465
[29-05-2015 11:06:12] iter: 7/3740 | epoch 0/200 | error: 1.051715373992920
[29-05-2015 11:06:16] iter: 8/3740 | epoch 0/200 | error: 1.050457239151001
[29-05-2015 11:06:20] iter: 9/3740 | epoch 0/200 | error: 1.049592494964600
[29-05-2015 11:06:24] iter: 10/3740 | epoch 0/200 | error: 1.051409482955933
[29-05-2015 11:06:27] iter: 11/3740 | epoch 0/200 | error: 1.050380706787109
[29-05-2015 11:06:31] iter: 12/3740 | epoch 0/200 | error: 1.050586938858032
[29-05-2015 11:06:35] iter: 13/3740 | epoch 0/200 | error: 1.045584440231323
[29-05-2015 11:06:39] iter: 14/3740 | epoch 0/200 | error: 1.050397515296936
[29-05-2015 11:06:43] iter: 15/3740 | epoch 0/200 | error: 1.049916505813599
