[26-05-2015 02:03:25] Contest set to ILSVRC

[26-05-2015 02:03:25] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[26-05-2015 02:03:31] Metadata loaded succesfully!

[26-05-2015 02:03:31] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[26-05-2015 02:03:33] Objects filepaths indexer loaded succesfully!
[26-05-2015 02:03:44] iter: 1/935 | epoch 0/200 | mse: 0.994996190071106
[26-05-2015 02:03:51] iter: 2/935 | epoch 0/200 | mse: 0.994964003562927
[26-05-2015 02:03:59] iter: 3/935 | epoch 0/200 | mse: 0.994906187057495
[26-05-2015 02:04:06] iter: 4/935 | epoch 0/200 | mse: 0.994826972484589
[26-05-2015 02:04:13] iter: 5/935 | epoch 0/200 | mse: 0.994712650775909
[26-05-2015 02:04:20] iter: 6/935 | epoch 0/200 | mse: 0.994612097740173
[26-05-2015 02:04:27] iter: 7/935 | epoch 0/200 | mse: 0.994421660900116
[26-05-2015 02:04:34] iter: 8/935 | epoch 0/200 | mse: 0.994327008724213
[26-05-2015 02:04:42] iter: 9/935 | epoch 0/200 | mse: 0.994137883186340
[26-05-2015 02:04:49] iter: 10/935 | epoch 0/200 | mse: 0.993934273719788
[26-05-2015 02:04:56] iter: 11/935 | epoch 0/200 | mse: 0.993769288063049
[26-05-2015 02:05:03] iter: 12/935 | epoch 0/200 | mse: 0.993848681449890
[26-05-2015 02:05:11] iter: 13/935 | epoch 0/200 | mse: 0.993776023387909
[26-05-2015 02:05:18] iter: 14/935 | epoch 0/200 | mse: 0.993892908096313
[26-05-2015 02:05:25] iter: 15/935 | epoch 0/200 | mse: 0.993558406829834
[26-05-2015 02:05:32] iter: 16/935 | epoch 0/200 | mse: 0.993354439735413
[26-05-2015 02:05:39] iter: 17/935 | epoch 0/200 | mse: 0.993222951889038
[26-05-2015 02:05:46] iter: 18/935 | epoch 0/200 | mse: 0.992347002029419
[26-05-2015 02:05:54] iter: 19/935 | epoch 0/200 | mse: 0.991237819194794
[26-05-2015 02:06:01] iter: 20/935 | epoch 0/200 | mse: 0.990921258926392
[26-05-2015 02:06:08] iter: 21/935 | epoch 0/200 | mse: 0.989222645759583
[26-05-2015 02:06:15] iter: 22/935 | epoch 0/200 | mse: 0.988455832004547
[26-05-2015 02:06:22] iter: 23/935 | epoch 0/200 | mse: 0.987845540046692
[26-05-2015 02:06:29] iter: 24/935 | epoch 0/200 | mse: 0.988260746002197
[26-05-2015 02:06:37] iter: 25/935 | epoch 0/200 | mse: 0.987815976142883
[26-05-2015 02:06:44] iter: 26/935 | epoch 0/200 | mse: 0.988490045070648
[26-05-2015 02:06:51] iter: 27/935 | epoch 0/200 | mse: 0.988515913486481
[26-05-2015 02:06:58] iter: 28/935 | epoch 0/200 | mse: 0.988113820552826
[26-05-2015 02:07:05] iter: 29/935 | epoch 0/200 | mse: 0.987735927104950
[26-05-2015 02:07:13] iter: 30/935 | epoch 0/200 | mse: 0.987152457237244
[26-05-2015 02:07:20] iter: 31/935 | epoch 0/200 | mse: 0.987865567207336
[26-05-2015 02:07:27] iter: 32/935 | epoch 0/200 | mse: 0.987823009490967
[26-05-2015 02:07:34] iter: 33/935 | epoch 0/200 | mse: 0.988630473613739
[26-05-2015 02:07:41] iter: 34/935 | epoch 0/200 | mse: 0.987692236900330
[26-05-2015 02:07:48] iter: 35/935 | epoch 0/200 | mse: 0.986990392208099
[26-05-2015 02:07:56] iter: 36/935 | epoch 0/200 | mse: 0.986577212810516
[26-05-2015 02:08:03] iter: 37/935 | epoch 0/200 | mse: 0.987958669662476
[26-05-2015 02:08:10] iter: 38/935 | epoch 0/200 | mse: 0.987519323825836
[26-05-2015 02:08:17] iter: 39/935 | epoch 0/200 | mse: 0.987342536449432
[26-05-2015 02:08:25] iter: 40/935 | epoch 0/200 | mse: 0.987354695796967
[26-05-2015 02:08:32] iter: 41/935 | epoch 0/200 | mse: 0.988125145435333
[26-05-2015 02:08:39] iter: 42/935 | epoch 0/200 | mse: 0.987729907035828
[26-05-2015 02:08:46] iter: 43/935 | epoch 0/200 | mse: 0.988469660282135
[26-05-2015 02:08:53] iter: 44/935 | epoch 0/200 | mse: 0.987728238105774
[26-05-2015 02:09:00] iter: 45/935 | epoch 0/200 | mse: 0.987252354621887
[26-05-2015 02:09:08] iter: 46/935 | epoch 0/200 | mse: 0.987558424472809
[26-05-2015 02:09:15] iter: 47/935 | epoch 0/200 | mse: 0.988490819931030
[26-05-2015 02:09:22] iter: 48/935 | epoch 0/200 | mse: 0.988775193691254
[26-05-2015 02:09:29] iter: 49/935 | epoch 0/200 | mse: 0.988080859184265
[26-05-2015 02:09:36] iter: 50/935 | epoch 0/200 | mse: 0.987187385559082
[26-05-2015 02:09:44] iter: 51/935 | epoch 0/200 | mse: 0.988046646118164
[26-05-2015 02:09:51] iter: 52/935 | epoch 0/200 | mse: 0.988094091415405
[26-05-2015 02:09:58] iter: 53/935 | epoch 0/200 | mse: 0.988280653953552
[26-05-2015 02:10:05] iter: 54/935 | epoch 0/200 | mse: 0.988249063491821
[26-05-2015 02:10:12] iter: 55/935 | epoch 0/200 | mse: 0.987565517425537
[26-05-2015 02:10:20] iter: 56/935 | epoch 0/200 | mse: 0.987717688083649
[26-05-2015 02:10:27] iter: 57/935 | epoch 0/200 | mse: 0.988335549831390
[26-05-2015 02:10:34] iter: 58/935 | epoch 0/200 | mse: 0.988297462463379
[26-05-2015 02:10:43] iter: 59/935 | epoch 0/200 | mse: 0.988757967948914
[26-05-2015 02:10:50] iter: 60/935 | epoch 0/200 | mse: 0.988614380359650
[26-05-2015 02:10:57] iter: 61/935 | epoch 0/200 | mse: 0.988690733909607
[26-05-2015 02:11:05] iter: 62/935 | epoch 0/200 | mse: 0.988577902317047
[26-05-2015 02:11:12] iter: 63/935 | epoch 0/200 | mse: 0.988795340061188
[26-05-2015 02:11:19] iter: 64/935 | epoch 0/200 | mse: 0.988418638706207
[26-05-2015 02:11:25] iter: 65/935 | epoch 0/200 | mse: 0.988040804862976
[26-05-2015 02:11:32] iter: 66/935 | epoch 0/200 | mse: 0.988510966300964
[26-05-2015 02:11:39] iter: 67/935 | epoch 0/200 | mse: 0.988208174705505
[26-05-2015 02:11:46] iter: 68/935 | epoch 0/200 | mse: 0.989397168159485
[26-05-2015 02:11:53] iter: 69/935 | epoch 0/200 | mse: 0.987924993038177
[26-05-2015 02:12:00] iter: 70/935 | epoch 0/200 | mse: 0.988916277885437
[26-05-2015 02:12:07] iter: 71/935 | epoch 0/200 | mse: 0.989379346370697
[26-05-2015 02:12:14] iter: 72/935 | epoch 0/200 | mse: 0.989020168781281
[26-05-2015 02:12:21] iter: 73/935 | epoch 0/200 | mse: 0.989005267620087
[26-05-2015 02:12:28] iter: 74/935 | epoch 0/200 | mse: 0.989024162292480
[26-05-2015 02:12:35] iter: 75/935 | epoch 0/200 | mse: 0.989413619041443
[26-05-2015 02:12:42] iter: 76/935 | epoch 0/200 | mse: 0.989388346672058
[26-05-2015 02:12:49] iter: 77/935 | epoch 0/200 | mse: 0.988809823989868
[26-05-2015 02:12:56] iter: 78/935 | epoch 0/200 | mse: 0.989561140537262
[26-05-2015 02:13:02] iter: 79/935 | epoch 0/200 | mse: 0.988582134246826
[26-05-2015 02:13:09] iter: 80/935 | epoch 0/200 | mse: 0.988517761230469
[26-05-2015 02:13:16] iter: 81/935 | epoch 0/200 | mse: 0.989204049110413
[26-05-2015 02:13:24] iter: 82/935 | epoch 0/200 | mse: 0.989465594291687
[26-05-2015 02:13:31] iter: 83/935 | epoch 0/200 | mse: 0.989292919635773
[26-05-2015 02:13:38] iter: 84/935 | epoch 0/200 | mse: 0.988756179809570
