[28-05-2015 23:26:38] Contest set to ILSVRC

[28-05-2015 23:26:38] LOADING METADATA FROM /MEDIA/ALEXIS/SSD/CACHE/META.MAT
----------------------------------------------------------------------------
[28-05-2015 23:26:44] Metadata loaded succesfully!

[28-05-2015 23:26:44] LOADING OBJECTS FILEPATHS INDEXER FROM /MEDIA/ALEXIS/SSD/CACHE/OBJECTS.MAT
------------------------------------------------------------------------------------------------
[28-05-2015 23:26:46] Objects filepaths indexer loaded succesfully!

[28-05-2015 23:27:14] TRAINING
------------------------------
[28-05-2015 23:27:16] iter: 1/7481 | epoch 0/200 | error: 1.274376630783081
[28-05-2015 23:27:18] iter: 2/7481 | epoch 0/200 | error: 1.701734781265259
[28-05-2015 23:27:19] iter: 3/7481 | epoch 0/200 | error: 1.718738317489624
[28-05-2015 23:27:20] iter: 4/7481 | epoch 0/200 | error: 1.874938249588013
[28-05-2015 23:27:21] iter: 5/7481 | epoch 0/200 | error: 1.343481779098511
[28-05-2015 23:27:22] iter: 6/7481 | epoch 0/200 | error: 1.975147128105164
[28-05-2015 23:27:23] iter: 7/7481 | epoch 0/200 | error: 1.750000000000000
[28-05-2015 23:27:24] iter: 8/7481 | epoch 0/200 | error: 1.937500000000000
[28-05-2015 23:27:25] iter: 9/7481 | epoch 0/200 | error: 1.781250000000000
[28-05-2015 23:27:26] iter: 10/7481 | epoch 0/200 | error: 1.875000000000000
[28-05-2015 23:27:27] iter: 11/7481 | epoch 0/200 | error: 1.718750000000000
[28-05-2015 23:27:28] iter: 12/7481 | epoch 0/200 | error: NaN
[28-05-2015 23:27:29] iter: 13/7481 | epoch 0/200 | error: NaN
[28-05-2015 23:27:30] iter: 14/7481 | epoch 0/200 | error: NaN
